Heart Rate,Time,Student,Temperature
74.58,11:30:00,S1,26.43
77.93,11:30:00,S10,21.29
116.8,11:30:00,S2,29.67
93.25,11:30:00,S3,28.33
101.08,11:30:00,S4,28.77
90.13,11:30:00,S5,27.99
72.88,11:30:00,S6,22.69
83.32,11:30:00,S7,27.19
94.03,11:30:00,S8,31.25
83.88,11:30:00,S9,21.41
75.02,11:30:01,S1,26.43
77.93,11:30:01,S10,21.29
116.85,11:30:01,S2,29.67
93.48,11:30:01,S3,28.33
100.75,11:30:01,S4,28.75
90.3,11:30:01,S5,27.99
73.05,11:30:01,S6,22.69
82.92,11:30:01,S7,27.19
93.28,11:30:01,S8,31.29
83.95,11:30:01,S9,21.41
75.35,11:30:02,S1,26.17
77.97,11:30:02,S10,21.19
116.92,11:30:02,S2,29.67
93.65,11:30:02,S3,28.33
100.43,11:30:02,S4,28.75
90.43,11:30:02,S5,28.03
73.18,11:30:02,S6,22.69
82.42,11:30:02,S7,27.19
92.52,11:30:02,S8,31.29
84.03,11:30:02,S9,21.41
75.73,11:30:03,S1,26.17
77.95,11:30:03,S10,21.19
117.0,11:30:03,S2,29.67
93.92,11:30:03,S3,28.33
100.12,11:30:03,S4,28.75
90.8,11:30:03,S5,28.03
73.37,11:30:03,S6,22.71
81.92,11:30:03,S7,27.19
91.72,11:30:03,S8,31.29
84.13,11:30:03,S9,21.37
76.07,11:30:04,S1,26.17
77.95,11:30:04,S10,21.19
117.12,11:30:04,S2,29.67
93.58,11:30:04,S3,28.33
99.9,11:30:04,S4,28.77
91.2,11:30:04,S5,28.03
73.55,11:30:04,S6,22.71
81.43,11:30:04,S7,27.23
90.9,11:30:04,S8,31.27
84.25,11:30:04,S9,21.37
76.37,11:30:05,S1,24.19
77.98,11:30:05,S10,21.27
117.25,11:30:05,S2,29.67
93.23,11:30:05,S3,28.33
99.7,11:30:05,S4,28.77
91.58,11:30:05,S5,28.03
73.72,11:30:05,S6,22.71
80.95,11:30:05,S7,27.23
90.05,11:30:05,S8,31.27
84.38,11:30:05,S9,21.37
76.67,11:30:06,S1,24.19
78.05,11:30:06,S10,21.27
117.4,11:30:06,S2,29.69
92.78,11:30:06,S3,28.33
99.52,11:30:06,S4,28.77
91.98,11:30:06,S5,28.03
73.67,11:30:06,S6,22.69
80.43,11:30:06,S7,27.23
89.2,11:30:06,S8,31.27
84.52,11:30:06,S9,21.39
77.03,11:30:07,S1,24.19
78.15,11:30:07,S10,21.27
117.55,11:30:07,S2,29.69
92.33,11:30:07,S3,28.33
99.35,11:30:07,S4,28.73
92.45,11:30:07,S5,28.03
73.67,11:30:07,S6,22.69
79.95,11:30:07,S7,27.23
88.37,11:30:07,S8,31.29
84.67,11:30:07,S9,21.39
77.38,11:30:08,S1,24.19
78.22,11:30:08,S10,21.21
117.7,11:30:08,S2,29.69
91.83,11:30:08,S3,28.33
99.17,11:30:08,S4,28.73
92.85,11:30:08,S5,28.03
73.52,11:30:08,S6,22.69
79.45,11:30:08,S7,27.23
87.5,11:30:08,S8,31.29
84.78,11:30:08,S9,21.39
