Heart Rate,Time,Student,Temperature
73.87,09:00:00,S1,20.07
94.97,09:00:00,S10,20.04
105.3,09:00:00,S2,20.04
84.18,09:00:00,S3,20.29
89.18,09:00:00,S4,19.53
108.72,09:00:00,S5,19.79
79.03,09:00:00,S6,19.69
93.82,09:00:00,S7,18.65
94.55,09:00:00,S8,19.17
101.03,09:00:00,S9,19.29
73.9,09:00:01,S1,20.07
95.4,09:00:01,S10,20.04
105.13,09:00:01,S2,20.07
84.07,09:00:01,S3,20.29
89.47,09:00:01,S4,19.53
108.87,09:00:01,S5,19.79
78.93,09:00:01,S6,20.49
93.87,09:00:01,S7,18.65
94.62,09:00:01,S8,19.17
101.37,09:00:01,S9,19.53
73.95,09:00:02,S1,20.09
95.85,09:00:02,S10,20.04
105.0,09:00:02,S2,20.07
83.93,09:00:02,S3,20.29
89.7,09:00:02,S4,19.53
108.98,09:00:02,S5,19.79
78.85,09:00:02,S6,20.49
93.87,09:00:02,S7,18.65
94.67,09:00:02,S8,19.25
101.57,09:00:02,S9,19.53
73.97,09:00:03,S1,20.09
96.32,09:00:03,S10,20.04
104.88,09:00:03,S2,20.07
83.92,09:00:03,S3,19.57
89.92,09:00:03,S4,19.53
109.05,09:00:03,S5,19.79
78.85,09:00:03,S6,20.49
93.9,09:00:03,S7,18.79
94.77,09:00:03,S8,19.25
101.82,09:00:03,S9,19.53
73.97,09:00:04,S1,20.09
96.75,09:00:04,S10,20.04
104.72,09:00:04,S2,20.09
83.88,09:00:04,S3,19.57
90.02,09:00:04,S4,19.53
109.07,09:00:04,S5,19.79
78.83,09:00:04,S6,19.85
93.9,09:00:04,S7,18.79
94.85,09:00:04,S8,19.25
102.03,09:00:04,S9,19.45
74.02,09:00:05,S1,20.11
97.02,09:00:05,S10,20.03
104.47,09:00:05,S2,20.09
83.83,09:00:05,S3,19.57
89.88,09:00:05,S4,19.53
109.03,09:00:05,S5,19.79
78.8,09:00:05,S6,19.85
93.82,09:00:05,S7,18.79
94.92,09:00:05,S8,19.19
102.17,09:00:05,S9,19.45
74.07,09:00:06,S1,20.11
97.28,09:00:06,S10,20.03
104.2,09:00:06,S2,20.09
83.93,09:00:06,S3,19.57
89.82,09:00:06,S4,19.53
108.97,09:00:06,S5,19.79
78.82,09:00:06,S6,19.85
93.87,09:00:06,S7,18.83
94.92,09:00:06,S8,19.19
102.27,09:00:06,S9,19.45
74.1,09:00:07,S1,20.11
97.45,09:00:07,S10,20.03
104.05,09:00:07,S2,20.09
83.95,09:00:07,S3,19.57
89.75,09:00:07,S4,19.53
108.9,09:00:07,S5,19.79
78.75,09:00:07,S6,19.85
94.05,09:00:07,S7,18.83
94.95,09:00:07,S8,19.19
102.32,09:00:07,S9,19.39
74.12,09:00:08,S1,20.09
96.92,09:00:08,S10,20.03
103.85,09:00:08,S2,20.09
83.98,09:00:08,S3,19.57
89.65,09:00:08,S4,19.53
108.83,09:00:08,S5,19.77
78.68,09:00:08,S6,19.85
94.37,09:00:08,S7,18.83
95.05,09:00:08,S8,19.17
102.38,09:00:08,S9,19.39
74.23,09:00:09,S1,20.09
96.4,09:00:09,S10,20.03
103.67,09:00:09,S2,20.09
84.05,09:00:09,S3,19.57
89.6,09:00:09,S4,19.53
108.77,09:00:09,S5,19.77
78.72,09:00:09,S6,19.85
94.72,09:00:09,S7,18.83
95.13,09:00:09,S8,19.17
102.52,09:00:09,S9,19.39
74.48,09:00:10,S1,20.09
95.82,09:00:10,S10,20.03
103.52,09:00:10,S2,20.11
84.13,09:00:10,S3,19.57
89.63,09:00:10,S4,19.53
108.72,09:00:10,S5,19.77
78.72,09:00:10,S6,19.81
95.05,09:00:10,S7,18.83
95.25,09:00:10,S8,19.17
102.63,09:00:10,S9,19.33
74.73,09:00:11,S1,20.09
95.18,09:00:11,S10,20.07
103.35,09:00:11,S2,20.11
84.22,09:00:11,S3,19.57
89.72,09:00:11,S4,19.53
108.68,09:00:11,S5,19.77
78.68,09:00:11,S6,19.81
95.28,09:00:11,S7,18.83
95.37,09:00:11,S8,19.46
102.53,09:00:11,S9,19.33
74.92,09:00:12,S1,20.09
94.57,09:00:12,S10,20.07
103.2,09:00:12,S2,20.11
84.25,09:00:12,S3,19.57
89.88,09:00:12,S4,19.53
108.68,09:00:12,S5,19.77
78.58,09:00:12,S6,19.81
95.72,09:00:12,S7,18.93
95.47,09:00:12,S8,19.46
102.47,09:00:12,S9,19.33
75.07,09:00:13,S1,20.09
93.93,09:00:13,S10,20.07
103.03,09:00:13,S2,20.11
84.32,09:00:13,S3,19.57
90.1,09:00:13,S4,19.54
108.67,09:00:13,S5,19.77
78.52,09:00:13,S6,19.79
96.05,09:00:13,S7,18.93
95.52,09:00:13,S8,19.46
102.38,09:00:13,S9,19.57
75.25,09:00:14,S1,20.12
93.3,09:00:14,S10,20.04
102.88,09:00:14,S2,20.11
84.48,09:00:14,S3,19.57
90.23,09:00:14,S4,19.54
108.65,09:00:14,S5,19.79
78.47,09:00:14,S6,19.79
96.42,09:00:14,S7,18.93
95.07,09:00:14,S8,19.17
102.23,09:00:14,S9,19.57
75.43,09:00:15,S1,20.12
92.67,09:00:15,S10,20.04
102.73,09:00:15,S2,20.11
84.62,09:00:15,S3,19.59
90.43,09:00:15,S4,19.54
108.63,09:00:15,S5,19.79
78.43,09:00:15,S6,19.79
96.82,09:00:15,S7,20.01
94.52,09:00:15,S8,19.17
102.08,09:00:15,S9,19.57
75.65,09:00:16,S1,20.12
92.03,09:00:16,S10,20.04
102.65,09:00:16,S2,20.12
84.78,09:00:16,S3,19.59
90.73,09:00:16,S4,19.54
108.58,09:00:16,S5,19.79
78.37,09:00:16,S6,19.77
97.25,09:00:16,S7,20.01
94.02,09:00:16,S8,19.17
101.95,09:00:16,S9,20.11
75.87,09:00:17,S1,20.09
91.4,09:00:17,S10,20.03
102.63,09:00:17,S2,20.12
84.92,09:00:17,S3,19.59
91.0,09:00:17,S4,19.54
108.53,09:00:17,S5,19.83
78.48,09:00:17,S6,19.77
97.68,09:00:17,S7,20.01
93.53,09:00:17,S8,19.2
101.83,09:00:17,S9,20.11
76.08,09:00:18,S1,20.09
90.68,09:00:18,S10,20.03
102.67,09:00:18,S2,20.12
85.02,09:00:18,S3,19.59
91.3,09:00:18,S4,19.54
108.5,09:00:18,S5,19.83
78.67,09:00:18,S6,19.77
98.13,09:00:18,S7,19.43
93.13,09:00:18,S8,19.2
101.77,09:00:18,S9,20.11
76.3,09:00:19,S1,20.09
90.07,09:00:19,S10,20.03
102.75,09:00:19,S2,20.11
85.07,09:00:19,S3,19.59
91.52,09:00:19,S4,19.53
108.48,09:00:19,S5,19.83
78.83,09:00:19,S6,19.79
98.35,09:00:19,S7,19.43
92.78,09:00:19,S8,19.2
101.7,09:00:19,S9,19.37
76.58,09:00:20,S1,20.11
89.42,09:00:20,S10,20.04
102.87,09:00:20,S2,20.11
85.1,09:00:20,S3,19.59
91.78,09:00:20,S4,19.53
108.47,09:00:20,S5,19.81
79.12,09:00:20,S6,19.79
98.55,09:00:20,S7,19.43
92.42,09:00:20,S8,19.2
101.55,09:00:20,S9,19.37
76.88,09:00:21,S1,20.11
88.82,09:00:21,S10,20.04
103.02,09:00:21,S2,20.11
85.1,09:00:21,S3,19.59
91.98,09:00:21,S4,19.53
108.5,09:00:21,S5,19.81
79.38,09:00:21,S6,19.79
98.73,09:00:21,S7,19.45
91.97,09:00:21,S8,19.2
101.4,09:00:21,S9,19.37
77.17,09:00:22,S1,20.11
88.12,09:00:22,S10,20.04
103.15,09:00:22,S2,20.12
85.05,09:00:22,S3,19.59
92.2,09:00:22,S4,19.54
108.55,09:00:22,S5,19.81
79.67,09:00:22,S6,19.79
98.98,09:00:22,S7,19.45
91.58,09:00:22,S8,19.2
101.28,09:00:22,S9,19.39
77.35,09:00:23,S1,20.09
87.32,09:00:23,S10,20.04
103.33,09:00:23,S2,20.12
84.88,09:00:23,S3,19.59
92.45,09:00:23,S4,19.54
108.62,09:00:23,S5,19.81
79.97,09:00:23,S6,19.79
99.18,09:00:23,S7,19.45
91.25,09:00:23,S8,19.23
101.13,09:00:23,S9,19.39
77.53,09:00:24,S1,20.09
86.52,09:00:24,S10,20.04
103.45,09:00:24,S2,20.12
84.73,09:00:24,S3,19.59
92.7,09:00:24,S4,19.54
108.67,09:00:24,S5,19.81
80.28,09:00:24,S6,19.79
99.38,09:00:24,S7,19.43
